           Exposure Description                       Date               Temp
------------------- ----------- -------------------------- ------------------
20221216_0000016_01      M33_p2 2022-12-16T05:09:11.238698   4.41888888888889
20221216_0000016_02      M33_p2 2022-12-16T05:09:11.238698   4.41888888888889
20221216_0000016_03      M33_p2 2022-12-16T05:09:11.238698   4.41888888888889
20221216_0000017_01      M33_p1 2022-12-16T05:40:13.094267   4.37888888888889
20221216_0000017_02      M33_p1 2022-12-16T05:40:13.094267   4.37888888888889
20221216_0000017_03      M33_p1 2022-12-16T05:40:13.094267   4.37888888888889
20221218_0000016_01      M33_p3 2022-12-18T05:05:33.785578   3.94222222222222
20221218_0000016_02      M33_p3 2022-12-18T05:05:33.785578   3.94222222222222
20221218_0000016_03      M33_p3 2022-12-18T05:05:33.785578   3.94222222222222
20221218_0000017_01      M33_p4 2022-12-18T05:30:35.316673   4.53722222222222
20221218_0000017_02      M33_p4 2022-12-18T05:30:35.316673   4.53722222222222
20221218_0000017_03      M33_p4 2022-12-18T05:30:35.316673   4.53722222222222
20221219_0000016_01      M33_p4 2022-12-19T05:15:50.667654   3.77166666666667
20221219_0000016_02      M33_p4 2022-12-19T05:15:50.667654   3.77166666666667
20221219_0000016_03      M33_p4 2022-12-19T05:15:50.667654   3.77166666666667
20221220_0000017_01      M33_p4 2022-12-20T05:12:20.116568   3.42888888888889
20221220_0000017_02      M33_p4 2022-12-20T05:12:20.116568   3.42888888888889
20221220_0000017_03      M33_p4 2022-12-20T05:12:20.116568   3.42888888888889
20221225_0000013_01      M33_p6 2022-12-25T04:33:41.618577 -0.820000000000002
20221225_0000013_02      M33_p6 2022-12-25T04:33:41.618577 -0.820000000000002
20221225_0000013_03      M33_p6 2022-12-25T04:33:41.618577 -0.820000000000002
20221225_0000014_01      M33_p5 2022-12-25T05:05:24.780225  -1.50888888888889
20221225_0000014_02      M33_p5 2022-12-25T05:05:24.780225  -1.50888888888889
20221225_0000014_03      M33_p5 2022-12-25T05:05:24.780225  -1.50888888888889
20221226_0000012_01      M33_p7 2022-12-26T04:43:55.329935   5.76666666666666
20221226_0000012_02      M33_p7 2022-12-26T04:43:55.329935   5.76666666666666
20221226_0000012_03      M33_p7 2022-12-26T04:43:55.329935   5.76666666666666
20221227_0000013_01      M33_p7 2022-12-27T04:35:41.439002   2.11055555555556
20221227_0000013_02      M33_p7 2022-12-27T04:35:41.439002   2.11055555555556
20221227_0000013_03      M33_p7 2022-12-27T04:35:41.439002   2.11055555555556
20221227_0000014_01      M33_p8 2022-12-27T04:59:52.321527   2.51111111111111
20221227_0000014_02      M33_p8 2022-12-27T04:59:52.321527   2.51111111111111
20221227_0000014_03      M33_p8 2022-12-27T04:59:52.321527   2.51111111111111
20230113_0000012_01      M33_p9 2023-01-13T03:24:37.770982   1.87722222222222
20230113_0000012_02      M33_p9 2023-01-13T03:24:37.770982   1.87722222222222
20230113_0000012_03      M33_p9 2023-01-13T03:24:37.770982   1.87722222222222
20230114_0000013_01     M33_p11 2023-01-14T03:25:45.073168   7.45833333333333
20230114_0000013_02     M33_p11 2023-01-14T03:25:45.073168   7.45833333333333
20230114_0000013_03     M33_p11 2023-01-14T03:25:45.073168   7.45833333333333
20230115_0000011_01     M33_p14 2023-01-15T03:26:28.548386   11.2833333333333
20230115_0000011_02     M33_p14 2023-01-15T03:26:28.548386   11.2833333333333
20230115_0000011_03     M33_p14 2023-01-15T03:26:28.548386   11.2833333333333
20230117_0000010_01     M33_p16 2023-01-17T03:15:55.934050   5.39888888888889
20230117_0000010_02     M33_p16 2023-01-17T03:15:55.934050   5.39888888888889
20230117_0000010_03     M33_p16 2023-01-17T03:15:55.934050   5.39888888888889
20230121_0000010_01     M33_p18 2023-01-21T02:51:01.537143   9.13444444444445
20230121_0000010_02     M33_p18 2023-01-21T02:51:01.537143   9.13444444444445
20230121_0000010_03     M33_p18 2023-01-21T02:51:01.537143   9.13444444444445
